date,open,high,low,close,volume
2007-11-08,369.96,362.85,362.85,362.85,2999200
2007-11-09,362.45,356.58,356.58,356.58,3758600
2007-11-12,354.44,341.79,341.79,341.79,3041900
2007-11-13,342.33,317.65,317.65,317.65,3317500
2007-11-14,317.46,349.65,349.65,349.65,3967900
2007-11-15,353.45,343.44,343.44,343.44,3053700
2007-11-16,343.45,342.72,342.72,342.72,2554300
2007-11-19,343.11,344.98,344.98,344.98,2120100
2007-11-20,346.75,340.12,340.12,340.12,2260800
2007-11-21,340.14,335.88,335.88,335.88,2674400
2007-11-22,334.79,338.17,338.17,338.17,3058700
2007-11-23,338.17,338.99,338.99,338.99,2191000
2007-11-26,338.34,343.17,343.17,343.17,2864400
2007-11-27,343.04,340.48,340.48,340.48,2933100
2007-11-28,340.49,339.93,339.93,339.93,2274500
2007-11-29,340.02,342.33,342.33,342.33,3026400
2007-11-30,342.39,341.1,341.1,341.1,2473100
2007-12-03,341.21,345.15,345.15,345.15,3495300
2007-12-04,345.16,349.5,349.5,349.5,5295200
2007-12-05,349.5,346.26,346.26,346.26,3725600
2007-12-06,346.28,344.37,344.37,344.37,2932500
2007-12-07,344.47,344.08,344.08,344.08,3634800
2007-12-10,344.2,335.85,335.85,335.85,2877600
2007-12-11,335.73,329.91,329.91,329.91,2667700
2007-12-12,327.9,328.64,328.64,328.64,3363500
2007-12-13,328.63,326,326,326,1923200
2007-12-14,326,324.88,324.88,324.88,2194800
2007-12-17,324.88,318.48,318.48,318.48,1954500
2007-12-18,318.48,318.95,318.95,318.95,2546000
2007-12-19,318.96,331.05,331.05,331.05,3164600
2007-12-20,330.63,327.24,327.24,327.24,1592400
2007-12-21,327.24,333.99,333.99,333.99,2469700
2007-12-24,333.99,331.57,331.57,331.57,2206700
2007-12-25,331.58,325.64,325.64,325.64,1803200
2007-12-26,322.13,323.53,323.53,323.53,1964100
2007-12-27,321.97,317.96,317.96,317.96,1916200
2007-12-28,318.01,323.55,323.55,323.55,2461500
2008-01-02,323.55,322.34,322.34,322.34,1867700
2008-01-03,319.67,314.54,314.54,314.54,1556900
2008-01-04,314.54,310.45,310.45,310.45,1519900
2008-01-07,310.84,297.59,297.59,297.59,1958000
2008-01-08,299.45,298.93,298.93,298.93,2345900
2008-01-09,298.93,294.68,294.68,294.68,1714200
2008-01-10,294.61,290.79,290.79,290.79,2720200
2008-01-11,290.79,289.6,289.6,289.6,2393300
2008-01-14,289.6,275.68,275.68,275.68,2588300
2008-01-15,273.16,265.8,265.8,265.8,3376700
